Campaign,Negative Keyword,Criterion Type
ADMI Search - Diplomas,free,Exact match
ADMI Search - Diplomas,online only,Phrase match
ADMI Search - Diplomas,remote,Exact match
ADMI Search - Diplomas,pdf,Exact match
ADMI Search - Diplomas,download,Exact match
ADMI Search - Diplomas,salary,Exact match
ADMI Search - Diplomas,reviews only,Phrase match
ADMI Search - Diplomas,curriculum pdf,Phrase match
ADMI Search - Diplomas,prospectus download,Phrase match
ADMI Search - Diplomas,jobs,Exact match
ADMI Search - Diplomas,vacancies,Exact match
ADMI Search - Diplomas,hiring,Exact match
ADMI Search - Diplomas,cheap,Exact match
ADMI Search - Diplomas,torrent,Exact match
ADMI Search - Diplomas,pirate,Exact match
ADMI Search - Diplomas,cracked,Exact match
ADMI Search - Diplomas,youtube,Exact match
ADMI Search - Diplomas,tutorial,Exact match
ADMI Search - Certificates,free,Exact match
ADMI Search - Certificates,online only,Phrase match
ADMI Search - Certificates,remote,Exact match
ADMI Search - Certificates,pdf,Exact match
ADMI Search - Certificates,download,Exact match
ADMI Search - Certificates,salary,Exact match
ADMI Search - Certificates,reviews only,Phrase match
ADMI Search - Certificates,curriculum pdf,Phrase match
ADMI Search - Certificates,prospectus download,Phrase match
ADMI Search - Certificates,jobs,Exact match
ADMI Search - Certificates,vacancies,Exact match
ADMI Search - Certificates,hiring,Exact match
ADMI Search - Certificates,cheap,Exact match
ADMI Search - Certificates,torrent,Exact match
ADMI Search - Certificates,pirate,Exact match
ADMI Search - Certificates,cracked,Exact match
ADMI Search - Certificates,youtube,Exact match
ADMI Search - Certificates,tutorial,Exact match
ADMI Search - Intake & Timeline,free,Exact match
ADMI Search - Intake & Timeline,online only,Phrase match
ADMI Search - Intake & Timeline,remote,Exact match
ADMI Search - Intake & Timeline,pdf,Exact match
ADMI Search - Intake & Timeline,download,Exact match
ADMI Search - Career Intent,free,Exact match
ADMI Search - Career Intent,online only,Phrase match
ADMI Search - Career Intent,remote,Exact match
ADMI Search - Career Intent,pdf,Exact match
ADMI Search - Career Intent,download,Exact match
ADMI Search - Career Intent,salary,Exact match
ADMI Search - Career Intent,jobs,Exact match
ADMI Search - Career Intent,vacancies,Exact match
ADMI Search - Career Intent,hiring,Exact match
ADMI Search - Competitive,free,Exact match
ADMI Search - Competitive,online only,Phrase match
ADMI Search - Competitive,remote,Exact match
ADMI Search - Competitive,pdf,Exact match
ADMI Search - Competitive,download,Exact match
